item_id,mean_rating,n_reviews,category,product_name,description,price
2874,4.909090909090909,11,Accessories & Supplies,AA Rechargeable Batteries 8-Pack (Model 688),AA Rechargeable Batteries 8-Pack. Reliable everyday electronics accessory. Durable construction with universal compatibility for all devices. Rated 4.9 out of 5 from 11 verified customer reviews.,178.91
3964,4.592592592592593,27,Camera & Photo,Camera Memory Card 128GB (Model 804),"Camera Memory Card 128GB. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.6 out of 5 from 27 verified customer reviews.",189.41
3470,2.652173913043478,46,Computers & Accessories,Mechanical Gaming Keyboard (Model 331),"Mechanical Gaming Keyboard. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 2.7 out of 5 from 46 verified customer reviews.",53.84
592,2.375,8,Camera & Photo,Mirrorless Camera Body (Model 370),"Mirrorless Camera Body. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 2.4 out of 5 from 8 verified customer reviews.",159.1
4280,4.466666666666667,15,Camera & Photo,Remote Shutter Release (Model 559),"Remote Shutter Release. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.5 out of 5 from 15 verified customer reviews.",105.25
1877,2.4444444444444446,477,Camera & Photo,Camera Bag Backpack (Model 875),"Camera Bag Backpack. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 2.4 out of 5 from 477 verified customer reviews.",54.35
5371,3.9526462395543174,359,Portable Audio & Video,CD Player Portable (Model 227),"CD Player Portable. Compact portable device with crystal-clear audio and easy connectivity. Perfect for home, travel, and outdoor use. Rated 4.0 out of 5 from 359 verified customer reviews.",249.32
2420,2.966666666666667,30,Car Electronics & GPS,Car GPS Navigation System (Model 032),Car GPS Navigation System. In-car electronics device with easy installation and reliable performance. Compatible with most vehicle models. Rated 3.0 out of 5 from 30 verified customer reviews.,237.8
2718,3.878787878787879,33,Camera & Photo,Mirrorless Camera Body (Model 930),"Mirrorless Camera Body. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.9 out of 5 from 33 verified customer reviews.",220.82
7960,2.772727272727273,22,Headphones,Foldable Travel Headphones (Model 987),"Foldable Travel Headphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 2.8 out of 5 from 22 verified customer reviews.",105.99
6835,3.8995633187772927,458,Headphones,Studio Monitor Headphones (Model 484),"Studio Monitor Headphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 3.9 out of 5 from 458 verified customer reviews.",82.54
6746,2.1,10,Headphones,Foldable Travel Headphones (Model 207),"Foldable Travel Headphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 2.1 out of 5 from 10 verified customer reviews.",169.93
5843,2.4444444444444446,9,Television & Video,Streaming Stick 4K (Model 454),Streaming Stick 4K. Home entertainment device delivering high-definition video and audio. Simple setup with universal compatibility. Rated 2.4 out of 5 from 9 verified customer reviews.,127.5
7155,4.1940298507462686,67,Camera & Photo,DSLR Camera Kit for Beginners (Model 741),"DSLR Camera Kit for Beginners. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.2 out of 5 from 67 verified customer reviews.",91.71
7411,4.388888888888889,18,Computers & Accessories,HDMI to DisplayPort Cable (Model 606),"HDMI to DisplayPort Cable. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.4 out of 5 from 18 verified customer reviews.",167.39
2254,3.625,64,Portable Audio & Video,CD Player Portable (Model 137),"CD Player Portable. Compact portable device with crystal-clear audio and easy connectivity. Perfect for home, travel, and outdoor use. Rated 3.6 out of 5 from 64 verified customer reviews.",66.08
9453,4.571428571428571,7,Camera & Photo,Camera Memory Card 128GB (Model 134),"Camera Memory Card 128GB. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.6 out of 5 from 7 verified customer reviews.",250.89
5277,3.3333333333333335,6,Computers & Accessories,Laptop Cooling Pad (Model 683),"Laptop Cooling Pad. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.3 out of 5 from 6 verified customer reviews.",105.46
5244,4.566666666666666,30,Computers & Accessories,Portable SSD 1TB (Model 304),"Portable SSD 1TB. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.6 out of 5 from 30 verified customer reviews.",202.69
970,3.602272727272727,88,Camera & Photo,Lens Cleaning Kit (Model 026),"Lens Cleaning Kit. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.6 out of 5 from 88 verified customer reviews.",119.82
6358,3.9848637739656914,991,Television & Video,TV Signal Booster (Model 311),TV Signal Booster. Home entertainment device delivering high-definition video and audio. Simple setup with universal compatibility. Rated 4.0 out of 5 from 991 verified customer reviews.,166.19
3058,3.6,5,Camera & Photo,Remote Shutter Release (Model 859),"Remote Shutter Release. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.6 out of 5 from 5 verified customer reviews.",165.61
6779,3.6363636363636362,11,Computers & Accessories,Laptop Stand Adjustable (Model 679),"Laptop Stand Adjustable. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.6 out of 5 from 11 verified customer reviews.",95.59
7301,4.923076923076923,13,Headphones,Foldable Travel Headphones (Model 717),"Foldable Travel Headphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 4.9 out of 5 from 13 verified customer reviews.",267.92
5696,3.6898395721925135,187,Wearable Technology,Kids GPS Watch (Model 150),Kids GPS Watch. Smart wearable device tracking health and activity metrics. Long battery life with companion mobile app. Rated 3.7 out of 5 from 187 verified customer reviews.,211.5
8401,2.9328358208955225,402,Wearable Technology,Fitness Tracker Watch (Model 952),Fitness Tracker Watch. Smart wearable device tracking health and activity metrics. Long battery life with companion mobile app. Rated 2.9 out of 5 from 402 verified customer reviews.,232.19
9075,5.0,7,Accessories & Supplies,AA Rechargeable Batteries 8-Pack (Model 348),AA Rechargeable Batteries 8-Pack. Reliable everyday electronics accessory. Durable construction with universal compatibility for all devices. Rated 5.0 out of 5 from 7 verified customer reviews.,254.49
1084,3.5572519083969465,131,Camera & Photo,ND Filter Set for Lenses (Model 218),"ND Filter Set for Lenses. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.6 out of 5 from 131 verified customer reviews.",174.95
3001,4.857142857142857,7,Computers & Accessories,Laptop Stand Adjustable (Model 049),"Laptop Stand Adjustable. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.9 out of 5 from 7 verified customer reviews.",257.62
8931,5.0,8,Computers & Accessories,USB-C Hub 7-in-1 Adapter (Model 060),"USB-C Hub 7-in-1 Adapter. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 5.0 out of 5 from 8 verified customer reviews.",97.26
6478,3.466019417475728,103,Headphones,True Wireless Earbuds (Model 476),"True Wireless Earbuds. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 3.5 out of 5 from 103 verified customer reviews.",95.21
8089,4.0,11,Camera & Photo,ND Filter Set for Lenses (Model 498),"ND Filter Set for Lenses. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.0 out of 5 from 11 verified customer reviews.",73.82
7607,3.4146341463414633,41,Headphones,Wireless Noise-Cancelling Headphones (Model 310),"Wireless Noise-Cancelling Headphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 3.4 out of 5 from 41 verified customer reviews.",119.66
8910,3.8285714285714287,35,Camera & Photo,Action Camera 4K Waterproof (Model 152),"Action Camera 4K Waterproof. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.8 out of 5 from 35 verified customer reviews.",138.22
4504,3.32,75,Computers & Accessories,Laptop Stand Adjustable (Model 009),"Laptop Stand Adjustable. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.3 out of 5 from 75 verified customer reviews.",107.71
637,4.428571428571429,7,Portable Audio & Video,Bluetooth Portable Speaker Waterproof (Model 330),"Bluetooth Portable Speaker Waterproof. Compact portable device with crystal-clear audio and easy connectivity. Perfect for home, travel, and outdoor use. Rated 4.4 out of 5 from 7 verified customer reviews.",233.03
3693,3.4444444444444446,9,Computers & Accessories,Laptop Stand Adjustable (Model 459),"Laptop Stand Adjustable. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.4 out of 5 from 9 verified customer reviews.",126.23
6751,3.5873015873015874,63,Computers & Accessories,USB-C Hub 7-in-1 Adapter (Model 610),"USB-C Hub 7-in-1 Adapter. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.6 out of 5 from 63 verified customer reviews.",113.59
7627,4.555555555555555,63,Camera & Photo,Remote Shutter Release (Model 419),"Remote Shutter Release. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.6 out of 5 from 63 verified customer reviews.",179.16
3973,3.857142857142857,7,Computers & Accessories,Laptop Cooling Pad (Model 673),"Laptop Cooling Pad. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.9 out of 5 from 7 verified customer reviews.",90.34
3733,4.6130268199233715,261,Accessories & Supplies,Anti-Static Wrist Strap (Model 674),Anti-Static Wrist Strap. Reliable everyday electronics accessory. Durable construction with universal compatibility for all devices. Rated 4.6 out of 5 from 261 verified customer reviews.,230.62
447,3.3076923076923075,13,Camera & Photo,Camera Bag Backpack (Model 865),"Camera Bag Backpack. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.3 out of 5 from 13 verified customer reviews.",69.15
2124,4.186046511627907,43,Computers & Accessories,USB 3.0 External Hard Drive (Model 105),"USB 3.0 External Hard Drive. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.2 out of 5 from 43 verified customer reviews.",260.23
4773,4.0508474576271185,59,Headphones,Gaming Headset with Mic (Model 965),"Gaming Headset with Mic. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 4.1 out of 5 from 59 verified customer reviews.",216.35
6130,3.6666666666666665,6,Computers & Accessories,Laptop Stand Adjustable (Model 529),"Laptop Stand Adjustable. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.7 out of 5 from 6 verified customer reviews.",98.75
6786,4.0,30,Portable Audio & Video,CD Player Portable (Model 807),"CD Player Portable. Compact portable device with crystal-clear audio and easy connectivity. Perfect for home, travel, and outdoor use. Rated 4.0 out of 5 from 30 verified customer reviews.",66.08
1383,4.256198347107438,121,Computers & Accessories,Wireless Ergonomic Mouse (Model 292),"Wireless Ergonomic Mouse. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.3 out of 5 from 121 verified customer reviews.",227.86
1339,4.285714285714286,7,Camera & Photo,Ring Light for Photography (Model 397),"Ring Light for Photography. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.3 out of 5 from 7 verified customer reviews.",207.12
8900,4.111111111111111,9,Headphones,Foldable Travel Headphones (Model 907),"Foldable Travel Headphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 4.1 out of 5 from 9 verified customer reviews.",208.82
367,3.3636363636363638,22,Camera & Photo,ND Filter Set for Lenses (Model 948),"ND Filter Set for Lenses. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.4 out of 5 from 22 verified customer reviews.",205.85
9534,3.8333333333333335,12,Camera & Photo,Remote Shutter Release (Model 119),"Remote Shutter Release. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.8 out of 5 from 12 verified customer reviews.",76.94
5048,4.089728453364817,847,Portable Audio & Video,CD Player Portable (Model 487),"CD Player Portable. Compact portable device with crystal-clear audio and easy connectivity. Perfect for home, travel, and outdoor use. Rated 4.1 out of 5 from 847 verified customer reviews.",136.25
6964,3.9696969696969697,33,Portable Audio & Video,Digital Voice Recorder (Model 216),"Digital Voice Recorder. Compact portable device with crystal-clear audio and easy connectivity. Perfect for home, travel, and outdoor use. Rated 4.0 out of 5 from 33 verified customer reviews.",87.14
8034,4.05,60,Headphones,Gaming Headset with Mic (Model 085),"Gaming Headset with Mic. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 4.0 out of 5 from 60 verified customer reviews.",234.06
5262,3.3333333333333335,6,Computers & Accessories,Wireless Ergonomic Mouse (Model 522),"Wireless Ergonomic Mouse. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.3 out of 5 from 6 verified customer reviews.",176.54
6314,3.358490566037736,53,Headphones,Bass Boost Headphones (Model 418),"Bass Boost Headphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 3.4 out of 5 from 53 verified customer reviews.",119.9
1963,2.8181818181818183,11,Camera & Photo,Action Camera 4K Waterproof (Model 052),"Action Camera 4K Waterproof. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 2.8 out of 5 from 11 verified customer reviews.",59.67
8229,2.5,24,Camera & Photo,Ring Light for Photography (Model 067),"Ring Light for Photography. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 2.5 out of 5 from 24 verified customer reviews.",103.14
8294,3.4423076923076925,52,Headphones,Studio Monitor Headphones (Model 344),"Studio Monitor Headphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 3.4 out of 5 from 52 verified customer reviews.",120.05
4896,3.8813559322033897,59,Computers & Accessories,USB 3.0 External Hard Drive (Model 505),"USB 3.0 External Hard Drive. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.9 out of 5 from 59 verified customer reviews.",205.49
9438,2.857142857142857,7,Camera & Photo,Lens Cleaning Kit (Model 766),"Lens Cleaning Kit. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 2.9 out of 5 from 7 verified customer reviews.",172.18
3328,3.5,20,Computers & Accessories,USB 3.0 External Hard Drive (Model 115),"USB 3.0 External Hard Drive. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.5 out of 5 from 20 verified customer reviews.",230.51
3,3.2516129032258063,155,Camera & Photo,Camera Bag Backpack (Model 745),"Camera Bag Backpack. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.3 out of 5 from 155 verified customer reviews.",145.86
3528,4.526315789473684,19,Accessories & Supplies,Anti-Static Wrist Strap (Model 194),Anti-Static Wrist Strap. Reliable everyday electronics accessory. Durable construction with universal compatibility for all devices. Rated 4.5 out of 5 from 19 verified customer reviews.,96.22
3378,3.0,15,Security & Surveillance,Video Doorbell HD (Model 945),"Video Doorbell HD. Home security device with HD video, motion detection, and mobile alerts. Easy wireless installation. Rated 3.0 out of 5 from 15 verified customer reviews.",189.08
1310,4.6,5,Portable Audio & Video,Car AUX Bluetooth Receiver (Model 145),"Car AUX Bluetooth Receiver. Compact portable device with crystal-clear audio and easy connectivity. Perfect for home, travel, and outdoor use. Rated 4.6 out of 5 from 5 verified customer reviews.",222.35
6611,4.285714285714286,7,Computers & Accessories,Laptop Sleeve 15 inch (Model 167),"Laptop Sleeve 15 inch. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.3 out of 5 from 7 verified customer reviews.",178.73
3912,4.166666666666667,6,Camera & Photo,ND Filter Set for Lenses (Model 118),"ND Filter Set for Lenses. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.2 out of 5 from 6 verified customer reviews.",217.84
1355,4.435897435897436,117,Computers & Accessories,Laptop Cooling Pad (Model 013),"Laptop Cooling Pad. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.4 out of 5 from 117 verified customer reviews.",167.83
4273,3.7785467128027683,289,Computers & Accessories,USB-C Hub 7-in-1 Adapter (Model 680),"USB-C Hub 7-in-1 Adapter. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.8 out of 5 from 289 verified customer reviews.",163.61
8998,3.9583333333333335,24,Computers & Accessories,Laptop Sleeve 15 inch (Model 277),"Laptop Sleeve 15 inch. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.0 out of 5 from 24 verified customer reviews.",147.75
9375,4.631578947368421,19,Computers & Accessories,Wireless Ergonomic Mouse (Model 472),"Wireless Ergonomic Mouse. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.6 out of 5 from 19 verified customer reviews.",79.43
1162,3.373401534526854,391,Camera & Photo,Camera Bag Backpack (Model 125),"Camera Bag Backpack. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.4 out of 5 from 391 verified customer reviews.",76.64
624,3.8333333333333335,6,Computers & Accessories,USB-C Hub 7-in-1 Adapter (Model 380),"USB-C Hub 7-in-1 Adapter. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.8 out of 5 from 6 verified customer reviews.",68.63
3535,4.632911392405063,553,Accessories & Supplies,AA Rechargeable Batteries 8-Pack (Model 488),AA Rechargeable Batteries 8-Pack. Reliable everyday electronics accessory. Durable construction with universal compatibility for all devices. Rated 4.6 out of 5 from 553 verified customer reviews.,198.59
7475,4.333333333333333,6,Camera & Photo,Ring Light for Photography (Model 577),"Ring Light for Photography. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.3 out of 5 from 6 verified customer reviews.",131.3
5461,4.644132653061225,784,Headphones,True Wireless Earbuds (Model 506),"True Wireless Earbuds. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 4.6 out of 5 from 784 verified customer reviews.",173.83
7877,4.462686567164179,67,Computers & Accessories,USB-C Hub 7-in-1 Adapter (Model 450),"USB-C Hub 7-in-1 Adapter. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.5 out of 5 from 67 verified customer reviews.",248.92
6120,4.51051051051051,333,Computers & Accessories,Laptop Cooling Pad (Model 433),"Laptop Cooling Pad. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.5 out of 5 from 333 verified customer reviews.",121.27
7875,4.113138686131387,274,Camera & Photo,Camera Memory Card 128GB (Model 774),"Camera Memory Card 128GB. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.1 out of 5 from 274 verified customer reviews.",146.72
668,4.2272727272727275,22,Camera & Photo,DSLR Camera Kit for Beginners (Model 511),"DSLR Camera Kit for Beginners. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.2 out of 5 from 22 verified customer reviews.",215.74
2465,3.6186770428015564,1028,Headphones,Wireless Noise-Cancelling Headphones (Model 780),"Wireless Noise-Cancelling Headphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 3.6 out of 5 from 1028 verified customer reviews.",103.9
8277,3.4444444444444446,9,Car Electronics & GPS,OBD2 Diagnostic Scanner (Model 303),OBD2 Diagnostic Scanner. In-car electronics device with easy installation and reliable performance. Compatible with most vehicle models. Rated 3.4 out of 5 from 9 verified customer reviews.,71.68
6250,4.6,5,Camera & Photo,Camera Tripod Flexible (Model 123),"Camera Tripod Flexible. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.6 out of 5 from 5 verified customer reviews.",130.5
1745,3.9651162790697674,86,Home Audio,Speaker Stands Pair (Model 428),"Speaker Stands Pair. High-fidelity home audio equipment for an immersive listening experience. Premium build with rich, balanced sound. Rated 4.0 out of 5 from 86 verified customer reviews.",95.91
1699,4.25,56,Computers & Accessories,USB 3.0 External Hard Drive (Model 415),"USB 3.0 External Hard Drive. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.2 out of 5 from 56 verified customer reviews.",250.04
1188,2.375,8,Camera & Photo,Camera Tripod Flexible (Model 713),"Camera Tripod Flexible. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 2.4 out of 5 from 8 verified customer reviews.",198.21
